time,open,high,low,close,volume,closeTime,assetVolume,trades,buyBaseVolume,ignored
1658462400000 ,1561.45000000 ,1591.05000000 ,1555.87000000 ,1590.08000000 ,57208.68500000 ,1658469599999 ,90089137.38134900 ,70805 ,29622.51730000 ,46655337.07463600 
1658469600000 ,1590.09000000 ,1614.02000000 ,1586.05000000 ,1601.69000000 ,110772.17440000 ,1658476799999 ,177007104.34057900 ,111745 ,58002.67440000 ,92720098.87606500 
1658476800000 ,1601.69000000 ,1650.05000000 ,1595.12000000 ,1630.59000000 ,204623.08210000 ,1658483999999 ,332564579.54653900 ,199163 ,112368.53470000 ,182672889.02214600 
1658484000000 ,1630.58000000 ,1641.86000000 ,1619.15000000 ,1639.08000000 ,101501.80770000 ,1658491199999 ,165850322.20948100 ,96798 ,49965.96500000 ,81648917.18094100 
1658491200000 ,1639.08000000 ,1644.50000000 ,1597.05000000 ,1599.51000000 ,141702.21260000 ,1658498399999 ,229597507.17411500 ,145284 ,66937.09100000 ,108505315.16243700 
1658498400000 ,1599.51000000 ,1617.26000000 ,1569.05000000 ,1574.91000000 ,144935.74500000 ,1658505599999 ,230949846.53520100 ,178485 ,73593.43380000 ,117331738.33557500 
1658505600000 ,1574.90000000 ,1591.99000000 ,1558.21000000 ,1569.36000000 ,97073.37000000 ,1658512799999 ,152795211.00562300 ,119259 ,48888.56310000 ,76969849.14650000 
1658512800000 ,1569.36000000 ,1579.15000000 ,1519.65000000 ,1526.20000000 ,102532.74000000 ,1658519999999 ,159018983.17762000 ,117091 ,46559.44410000 ,72252780.84526000 
1658520000000 ,1526.21000000 ,1543.11000000 ,1516.11000000 ,1538.51000000 ,63233.86490000 ,1658527199999 ,96737067.99107100 ,76341 ,32145.32750000 ,49187665.71623400 
1658527200000 ,1538.51000000 ,1544.54000000 ,1529.00000000 ,1535.27000000 ,33946.55730000 ,1658534399999 ,52165131.88177400 ,47869 ,15500.11130000 ,23820188.16900400 
1658534400000 ,1535.27000000 ,1557.00000000 ,1523.45000000 ,1552.04000000 ,52329.13540000 ,1658541599999 ,80772948.82138900 ,68402 ,26905.72940000 ,41525747.45584300 
1658541600000 ,1552.05000000 ,1580.00000000 ,1550.65000000 ,1571.00000000 ,60002.21150000 ,1658548799999 ,94117502.52640300 ,69374 ,30745.64350000 ,48222239.77384500 
1658548800000 ,1571.01000000 ,1596.51000000 ,1564.28000000 ,1581.11000000 ,73601.77380000 ,1658555999999 ,116475074.25844600 ,79317 ,38957.97050000 ,61639756.00368000 
1658556000000 ,1581.10000000 ,1592.49000000 ,1567.58000000 ,1578.35000000 ,51242.93930000 ,1658563199999 ,80940745.44226400 ,62534 ,23851.90230000 ,37680415.49659700 
1658563200000 ,1578.35000000 ,1588.35000000 ,1546.27000000 ,1560.36000000 ,82475.88700000 ,1658570399999 ,129097597.02801800 ,87522 ,39993.40540000 ,62597923.25129600 
1658570400000 ,1560.36000000 ,1564.29000000 ,1519.00000000 ,1522.19000000 ,102382.85170000 ,1658577599999 ,157283289.59289500 ,104502 ,49102.15360000 ,75447486.12243700 
